titleTR,titleEN,category,subCategory,collection,model,sourceUrl
"GL 1261 Greenlam Formica Dark Grey","GL 1261 Greenlam Formica Dark Grey","Kenar Bandı","PVC","Unicolour","2339","https://boyutplastik.com.tr/edgeband-finder/greenlam-formica-dark-grey"
"GL 6021 Greenlam Glen Grey","GL 6021 Greenlam Glen Grey","Kenar Bandı","PVC","Unicolour","2340","https://boyutplastik.com.tr/edgeband-finder/greenlam-glen-grey"
"GL 6041 Greenlam Black","GL 6041 Greenlam Black","Kenar Bandı","PVC","Unicolour","2341","https://boyutplastik.com.tr/edgeband-finder/greenlam-black"
"D114 Keas Elvira","D114 Keas Elvira","Kenar Bandı","PVC","Unicolour","0049","https://boyutplastik.com.tr/edgeband-finder/keas-elvira"
"D117 Keas Kırmızı","D117 Keas Kırmızı","Kenar Bandı","PVC","Unicolour","0098","https://boyutplastik.com.tr/edgeband-finder/keas-kirmizi"
"D300 KR White Gray","D300 KR White Gray","Kenar Bandı","PVC","Unicolour","0231","https://boyutplastik.com.tr/edgeband-finder/kr--white-gray"
"D137 Keas Menekşe","D137 Keas Menekşe","Kenar Bandı","PVC","Unicolour","0085","https://boyutplastik.com.tr/edgeband-finder/keas-menekse"
"D122 Keas Vizon","D122 Keas Vizon","Kenar Bandı","PVC","Unicolour","0091","https://boyutplastik.com.tr/edgeband-finder/keas-vizon"
"D125 Keas Pembe","D125 Keas Pembe","Kenar Bandı","PVC","Unicolour","0096","https://boyutplastik.com.tr/edgeband-finder/keas-pembe"
"D126 Keas Cappucino","D126 Keas Cappucino","Kenar Bandı","PVC","Unicolour","0100","https://boyutplastik.com.tr/edgeband-finder/keas-cappucino"
"D133 Keas Koyu Sarı","D133 Keas Koyu Sarı","Kenar Bandı","PVC","Unicolour","0104","https://boyutplastik.com.tr/edgeband-finder/keas-koyu-sari"
"D134 Keas Pastel Yeşil","D134 Keas Pastel Yeşil","Kenar Bandı","PVC","Unicolour","0108","https://boyutplastik.com.tr/edgeband-finder/keas-pastel-yesil"
"D160 Keas Aytaşı","D160 Keas Aytaşı","Kenar Bandı","PVC","Unicolour","0157","https://boyutplastik.com.tr/edgeband-finder/keas-aytasi"
"D140 Keas Kumtaşı","D140 Keas Kumtaşı","Kenar Bandı","PVC","Unicolour","0072","https://boyutplastik.com.tr/edgeband-finder/keas-kumtasi"
"D143 Keas Antrasit","D143 Keas Antrasit","Kenar Bandı","PVC","Unicolour","0058","https://boyutplastik.com.tr/edgeband-finder/keas-antrasit-70"
"D102 Keas Bej","D102 Keas Bej","Kenar Bandı","PVC","Unicolour","0034","https://boyutplastik.com.tr/edgeband-finder/keas-bej"
"D107 Keas Siyah","D107 Keas Siyah","Kenar Bandı","PVC","Unicolour","0016","https://boyutplastik.com.tr/edgeband-finder/keas-siyah"
"D123 Keas Açık Gri","D123 Keas Açık Gri","Kenar Bandı","PVC","Unicolour","0013","https://boyutplastik.com.tr/edgeband-finder/keas-acik-gri"
"D118 Keas Vanilla","D118 Keas Vanilla","Kenar Bandı","PVC","Unicolour","0002","https://boyutplastik.com.tr/edgeband-finder/keas-vanilla"
"D108 Keas Blue","D108 Keas Blue","Kenar Bandı","PVC","Unicolour","0068","https://boyutplastik.com.tr/edgeband-finder/keas-blue"
